session|party|party_full
1|A|anti-administration
1|P|pro-administration
1|F|federalist
1|R|republican
1|D|democratic republican
2|A|anti-administration
2|P|pro-administration
2|R|republican
2|F|federalist
2|D|democratic republican
3|P|pro-administration
3|R|republican
3|F|federalist
3|A|anti-administration
3|D|democratic republican
4|R|republican
4|F|federalist
4|A|anti-administration
5|F|federalist
5|R|republican
6|F|federalist
6|R|republican
7|F|federalist
7|R|republican
7|D|democratic republican
8|R|republican
8|F|federalist
9|R|republican
9|F|federalist
10|R|republican
10|F|federalist
10|D|democratic republican
11|R|republican
11|F|federalist
12|R|republican
12|F|federalist
12|D|democratic republican
12|U|unknown
13|R|republican
13|F|federalist
13|U|unknown
14|R|republican
14|F|federalist
14|U|unknown
15|F|federalist
15|R|republican
15|D|democratic republican
16|R|republican
16|F|federalist
16|A|adams
16|W|whig
17|R|republican
17|F|federalist
17|A|adams
17|J|jackson
18|R|republican
18|F|federalist
18|A|adams
18|J|jackson
18|J|jackson republican
18|C|crawford republican
18|W|whig
18|J|jacksonian republican
18|J|jacksonian
18|D|democratic republican
18|A|anti mason
18|A|anti-jacksonian
18|D|democrat
18|A|anti jacksonian
19|R|republican
19|A|adams
19|J|jackson
19|D|democratic republican
20|J|jackson
20|A|adams
20|J|jacksonian
21|A|adams
21|J|jackson
21|A|anti-jacksonian
21|R|republican
21|A|adams democrat
21|N|nullifier
21|D|democratic republican
21|A|anti masonic
21|F|federalist
21|A|anti jacksonian
21|A|anti mason
21|W|whig
21|J|jacksonian
21|D|democrat
22|J|jackson
22|A|adams
22|A|anti-jacksonian
22|N|nullifier
22|D|democratic republican
22|A|anti masonic
22|R|republican
22|A|anti jacksonian
22|J|jacksonian
22|D|democrat
22|W|whig
22|A|anti mason
23|J|jackson
23|A|anti-jacksonian
23|A|adams
23|N|nullifier
23|D|democrat
23|W|whig
23|A|anti jacksonian
23|A|anti masonic
23|A|anti jackson
23|J|jacksonian
23|R|republican
24|A|adams
24|J|jackson
24|A|anti-jacksonian
24|D|democrat
24|W|whig
