topic|phrase
alcohol|american spirit
alcohol|bipartisan spirit
alcohol|human spirit
alcohol|letter spirit
alcohol|public spirit
alcohol|spirit compromis
alcohol|violat spirit
alcohol|entrepreneuri spirit
alcohol|spirit bipartisanship
alcohol|spirit debat
alcohol|spiritu leader
alcohol|spirit freedom
alcohol|spirit constitut
budget|balanc trade
budget|trade balanc
budget|trade deficit
budget|campaign spend
budget|famili budget
budget|educ expens
budget|busi expens
budget|racial balanc
budget|revenu duti
budget|expenditur made
budget|independ expenditur
budget|tax expenditur
budget|increas expenditur
budget|reduc expenditur
budget|continu spend
budget|balanceofpay deficit
budget|achiev balanc
budget|balanc approach
budget|balanc bill
budget|balanc need
budget|balanc payment
budget|check balanc
budget|delic balanc
budget|need balanc
budget|requir balanc
budget|reserv balanc
budget|support balanc
budget|toward balanc
budget|unexpend balanc
budget|unoblig balanc
budget|vote balanc
budget|billion revenu
budget|travel expens
budget|revenu increasbusiness|order accommod
business|public accommod
business|tri accommod
business|coconut oil
business|soil conserv
business|soil eros
business|veget oil
business|campaign financ
business|deficit financ
business|financ campaign
business|financi aid
business|financi assist
business|financi burden
business|financi difficulti
business|financi need
business|financi resourc
business|provid financi
business|public financ
business|student financi
business|war financ
business|disast loan
business|student loan
business|farm famili
business|farm home
business|agricultur colleg
business|accommod concern
business|american soil
business|educ loan
business|bipartisan coalit
business|nation coalit
business|incom credit
business|companion legisl
business|cottonse oil
business|privat concern
business|privat first
business|privat social
business|american capit
business|architect capitol
business|capit budget
business|capit citi
business|capit expenditur
business|capit format
business|capit improv
business|capit punish
business|capit requir
business|capit ship
business|capita basi
business|capita incom
business|capitol build
business|capitol ground
business|capitol polic
business|cent capit
business|end capitol
business|front capitol
business|human capit
business|labor capit
business|nation capit
business|nation capitol
business|need capit
business|side capitol
business|state capit
business|state capitol
business|public credit
business|state busi
business|circuit nomine
business|constitu mine
business|court nomine
business|friend mine
business|govern ownership
business|gun owner
business|home owner
business|home ownership
business|isthmian canal
business|import textil
business|judici nomine
business|like mine
business|nomine presid
business|organ transplant
business|panama canal
business|plant anim
business|presid nomine
business|qualifi nomine
business|properti owner
business|salt lake
business|suez canal
crime|war crime
crime|food drug
crime|fund drug
crime|generic drug
crime|medicar drug
crime|prescript drug
crime|problem drug
crime|program drug
crime|provid drug
crime|alreadi begun
crime|just begun
crime|finish sentenc
crime|first sentenc
crime|last sentenc
crime|one sentenc
crime|second sentenc
crime|sentenc section
crime|age discrimin
crime|discriminatori practic
crime|discrimin base
crime|discrimin basi
crime|discrimin duti
crime|discrimin employ
crime|discrimin favor
crime|discrimin women
crime|elimin discrimin
crime|employ discrimin
crime|end discrimin
crime|prohibit discrimin
crime|racial discrimin
crime|sex discrimin
crime|unjust discrimin
crime|without discrimin
crime|sentenc guidelin
crime|rehabilit act
crime|rehabilit loan
crime|rural rehabilit
crime|anim drug
crime|comprehens drug
crime|drug biolog
crime|drug medic
crime|antiaircraft gun
crime|discrimin act
crime|form discrimin
crime|non discrimin
crime|drug store
crime|discrimin workplac
crime|discrimin made
crime|make discrimin
crime|institut drug
crime|keep gun
crime|american prison
crime|bureau prison
crime|feder prison
crime|polit prison
crime|prison conscienc
crime|prison construct
crime|prison industri
crime|prison labor
crime|prison popul
crime|prison system
crime|prison war
crime|state prison
crime|treatment prison
crime|war crimindefense|alarm rate
defense|allow farmer
defense|american farm
defense|american farmer
defense|armenian genocid
defense|armenian peopl
defense|assist farmer
defense|benefit farmer
defense|dairi farmer
defense|depart armi
defense|disarma agenc
defense|disarma confer
defense|earmark fund
defense|everi farmer
defense|famili farm
defense|famili farmer
defense|farm bill
defense|farm board
defense|farm bureau
defense|farm busi
defense|farm commod
defense|farm communiti
defense|farm credit
defense|farm economi
defense|farmer america
defense|farmer buy
defense|farmer consum
defense|farmer countri
defense|farmer district
defense|farmer face
defense|farmer farm
defense|farmer farmer
defense|farmer get
defense|farmer go
defense|farmer home
defense|farmer labor
defense|farmer must
defense|farmer nation
defense|farmer need
defense|farmer pay
defense|farmer produc
defense|farmer rancher
defense|farmer receiv
defense|farmer state
defense|farmer union
defense|farmer unit
defense|farmer want
defense|farm export
defense|farm famili
defense|farm home
defense|farm incom
defense|farm labor
defense|farm legisl
defense|farm loan
defense|farm machineri
defense|farm mortgag
defense|farm oper
defense|farm organ
defense|farm peopl
defense|farm polici
defense|farm popul
defense|farm problem
defense|farm produc
defense|farm product
defense|farm program
defense|farm ranch
defense|farm relief
defense|farm rural
defense|farm secur
defense|farm subsidi
defense|farm surplus
defense|farm worker
defense|feder farm
defense|give farmer
defense|global warm
defense|help farmer
defense|hold harmless
defense|incom farmer
defense|increas farm
defense|individu farmer
defense|interest farmer
defense|loan farmer
defense|mani farmer
defense|million armenian
defense|nation farmer
defense|net farm
defense|oper farm
defense|payment farmer
defense|percent farm
defense|percent farmer
defense|pharmaceut compani
defense|pharmaceut industri
defense|product farm
defense|product farmer
defense|program farmer
defense|relief farmer
defense|tobacco farmer
defense|tobacco firearm
defense|upon farm
defense|use firearm
defense|improv navig
defense|interest navig
defense|navig stream
defense|acut awar
defense|also awar
defense|attitud toward
defense|award contract
defense|awar fact
defense|awar need
defense|awar problem
defense|becom awar
defense|bill forward
defense|bring forward
defense|brought forward
defense|came forward
defense|carri forward
defense|colleagu awar
defense|come forward
defense|comput softwar
defense|contract award
defense|contribut toward
defense|direct toward
defense|drug war
defense|effort toward
defense|forward amend
defense|forward bill
defense|forward continu
defense|forward debat
defense|forward lead
defense|forward legisl
defense|forward look
defense|forward think
defense|freight forward
defense|fulli awar
defense|go forward
defense|go toward
defense|increas awar
defense|keen awar
defense|legisl forward
defense|look forward
defense|look toward
defense|made awar
defense|made toward
defense|member awar
defense|move forward
defense|movement toward
defense|move toward
defense|path toward
defense|polici toward
defense|progress toward
defense|public awar
defense|put forward
defense|rais awar
defense|search warrant
defense|servic award
defense|simpl straightforward
defense|step backward
defense|step toward
defense|toward achiev
defense|toward balanc
defense|toward democraci
defense|toward develop
defense|toward end
defense|toward goal
defense|toward improv
defense|toward meet
defense|toward reduc
defense|toward solut
defense|toward solv
defense|trade war
defense|trend toward
defense|us awar
defense|us toward
defense|view toward
defense|warn us
defense|warrant offic
defense|way toward
defense|bureau prison
defense|feder prison
defense|life imprison
defense|polit prison
defense|prison conscienc
defense|prison sentenc
defense|prison system
defense|releas prison
defense|state prison
defense|year prison
defense|busi farm
defense|caus harm
defense|dairi farm
defense|harm caus
defense|harm effect
defense|home farm
