topic|phrase
alcohol|alcohol
alcohol|antisaloon
alcohol|distil
alcohol|liquor
alcohol|malt
alcohol|saloon
alcohol|spirit
budget|balanc
budget|budget
budget|debt
budget|defici
budget|expenditur
budget|expens
budget|revenu
budget|spend
budget|treasuri
business|agricultur
business|banker
business|bankruptci
business|busi
business|canal
business|capit
business|chief execut
business|coal
business|commerc
business|commod
business|compani
business|credit
business|electr
business|enterpri
business|farm
business|financ
business|fishermen
business|gas
business|industri
business|leather
business|loan
business|manufactur
business|mine
business|oil
business|owner
business|patent
business|petroleum
business|plant
business|potato
business|privat
business|profit
business|railroad
business|refin
business|salt
business|stock
business|sugar
business|textil
business|wool
crime|crim
crime|crime
crime|drug
crime|gun
crime|narcot
crime|opium
crime|prison
crime|rehabilit
crime|sentenc
crime|shoot
crime|traffick
defense|arm
defense|armi
defense|atom
defense|bomb
defense|combat
defense|defens
defense|enlist
defense|fighter
defense|guard
defense|homeland
defense|intellig
defense|militari
defense|missil
defense|naval
defense|navi
defense|navyyard
defense|prison
defense|soldier
defense|torpedo
defense|veteran
defense|war
defense|weapon
economy|econom
economy|growth
economy|poverti
economy|recoveri
economy|stimulus
economy|unemploy
education|academ
education|campus
education|educ
education|lunch
education|school
education|student
education|teacher
elections|ballot
elections|campaign
elections|elect
elections|vote
environment|canyon
environment|climat
environment|conserv
environment|contam
environment|dam
environment|environ
environment|eros
environment|forest
environment|garden
environment|hurrican
environment|lake
environment|natur
environment|plant
environment|pollut
environment|shale
environment|soil
environment|wast
federalism|agenc
federalism|confeder
federalism|execut
federalism|feder
federalism|interst
federalism|local
federalism|regul
federalism|secede
federalism|southern
federalism|state
federalism|union
foreign|afghanistan
foreign|aid
foreign|asia
foreign|bolivia
foreign|britain
foreign|canada
foreign|china
foreign|chines
foreign|cold war
foreign|communism
foreign|communist
foreign|contra
foreign|cuba
foreign|duti
foreign|foreign
foreign|genocid
foreign|german
foreign|haiti
foreign|independ
foreign|iran
foreign|iraq
foreign|khmer
foreign|kingdom
foreign|latin
foreign|mexic
foreign|nicaragua
foreign|panama
foreign|persia
foreign|phillipin
foreign|porto
foreign|postcold war
foreign|puerto
foreign|qaeda
foreign|saddam hussein
foreign|salvador
foreign|soviet
foreign|spain
foreign|spanish
foreign|spanishamerican
foreign|treati
foreign|troop
foreign|vietnam
government|agenc
government|benefit
government|bureau
government|depart
government|govern
government|highway
government|lineitem
government|medicaid
government|medicar
government|municip
government|privaci
government|regulatori
government|stimulus
government|welfar
health|care
health|care reform
health|cell
health|coverag
health|gyn
health|health
health|hiv
health|hospit
health|medic
health|medicaid
health|medicar
health|mental
health|nurs
health|nutrit
immigration|alien
immigration|border
immigration|citizen
immigration|detain
immigration|foreign
immigration|illeg
immigration|immigr
immigration|undoc
justice|attorney
justice|clerk
justice|court
justice|freedman
justice|habea
justice|judici
justice|justic
justice|lawyer
justice|right
justice|trial
labor|compens
labor|employ
labor|job
labor|labor
labor|longshoremen
labor|pay
labor|pension
labor|retir
labor|salari
labor|strike
labor|unemploy
labor|union
labor|vocat
labor|wage
labor|worker
mail|freedeliveri
mail|mail
mail|messeng
mail|posta
mail|postmast
mail|postoffic
minorities|african
minorities|cheroke
minorities|choctaw
minorities|color
minorities|discrimin
minorities|equal
minorities|filipino
minorities|hate
minorities|hawaiian
minorities|indian
minorities|jew
minorities|muslim
minorities|negro
minorities|philippin
minorities|right
minorities|right act
minorities|segreg
minorities|tribal
minorities|tribe
minorities|woman
minorities|women
money|cash
money|coin
money|dollar
money|gold
money|monet
money|note
money|payment
money|silver
money|tender
money|treasuri
religion|buddhi
religion|cathol
religion|christian
religion|hindu
religion|islam
religion|jehovah
religion|jew
religion|judai
religion|mormon
religion|muslim
religion|prayer
religion|protest
religion|religi
religion|sectarian
tax|estat
tax|excessprofit
tax|internalrevenu
tax|tax
trade|duti
trade|exportimport
trade|paynealdrich
trade|tariff
trade|trade
trade|valorem
